indice,nombres,precios
331,Cereal Corn Flakes x 1000gr,$ 22.990
332,Café Amaretto Soluble Buen Día x 85G,$ 13.590
333,Granola tosh artesanal avena pasasx300g,$ 8.390
334,Harina why not avena libre gluten x1000g,$ 21.990
335,Café Grano Oma x 500G,$ 29.190
336,Sardina Tomate x 425g Van Camps,$ 8.990
337,Aceite De Oliva Extra Virgen Ybarra x 750 ml,$ 25.990
338,Café buendia crema whisky x85g,$ 12.590
339,Cereal Fitness sin azucares x220g,$ 8.990
340,Salsa de soya Aderezos 1100 g,$ 9.590
341,Azúcar Incauca Extrafina 200 sobres,$ 6.190
342,La soberana sardinas en salsa de tomate x 425g,$ 8.790
343,Quinua Quinoaclub grano x 500 g,$ 7.990
344,Caldo Doña Gallina x24 cubos x252g,$ 7.790
345,Café juan valdezgranogourmet selection x500g,$ 35.990
346,Café Oma Exportación Premium Tostado Molido x 340 G,$ 25.990
347,Sal Fumage entera rosada del himalaya bolsa x400g,$ 9.592
348,Cafe nescafe soluble artesano antioquia x170g,$ 30.990
349,Cereal Lucky Charms Unicornios Mágicos x 297 G,$ 16.590
350,Aceite girasol premier Garrafa x 5000 ml,$ 85.990
351,Café Descaféinado Colcafé x 200 G.,$ 20.590
352,Modificador de Leche Chocolisto x 1500g,$ 33.990
353,Mayonesa doypack San Jorge x 1000g precio especial,$ 11.590
354,Salchicha viena Zenú x5und x150g c-u,$ 20.590
355,Ensalada Alamar de atún primavera x2 unds x160g,$ 10.390
356,Salchichas Viena de Pollo Zenú x 3 und.x 150 g.,$ 11.990
357,Milo free actigen-e doypack x 500 gr gratis 50 gr,$ 15.813
358,Café Buendia molido tostion media n-2 x340g,$ 14.390
359,Granola Tosh crunchy frutos del bosque yogurt griego x 300g,$ 15.590
360,Pasta Garofalo penne rigatte x500g,$ 7.990
361,Cafe oporto x500g,$ 11.390
362,Aceituna excelencia negra deshuesada x 350 g,$ 7.641
363,Milo Nutrifit Bolsa x200g,$ 7.273
364,Yerba mate Rosamonte x 500 g,$ 16.990
365,Pasta Garofalo fusilli x500g,$ 7.990
