indice,nombre,precio,tienda
125,AZÚCAR MORENA 1000 GRS,$ 3.750,d1
126,FRÍJOL CARGAMANTO ROJO EL ESTÍO 500 GRS,$ 6.350,d1
127,FRÍJOL CARAOTA GRANIPACK 500 G,$ 3.150,d1
128,ARVEJA EL ESTIO 500 GRS,$ 1.950,d1
129,LENTEJA EL ESTÍO 500 GRS,$ 3.190,d1
130,MAÍZ PIRA EL ESTÍO 500 GRS,$ 2.390,d1
131,GARBANZO EL ESTÍO 500 GRS,$ 3.190,d1
132,ARROZ EL ESTÍO 500 GRS,$ 1.790,d1
133,ARROZ ECONÓMICO EL ESTÍO 454 G,$ 1.590,d1
134,ARROZ PREMIUM EL ESTIO 2500 G,$ 9.990,d1
135,ARROZ PREMIUM EL ESTÍO 1000 GRS,$ 4.190,d1
136,PANELA CUADRADA 1000 G,$ 4.590,d1
137,CALDO DE COSTILLA MAGGI 10 UND 80 G,$ 3.390,d1
138,CALDO DE GALLINA MAGGI 10 UND 88 G,$ 3.390,d1
139,CALDO DE GALLINA SPECIARIA 8 UND - 84 G,$ 1.790,d1
140,CREMA DE CHÓCLO VELSUP 70 G,$ 1.390,d1
141,CREMA DE POLLO CON CHAMPIÑONES VELSUP 70 G...,$ 1.980,d1
142,CALDO DE COSTILLA SPECIARIA 84 G 8 CUBOS,$ 1.790,d1
143,SOPA AJIACO RICO 45 GR,$ 1.290,d1
144,SOPA CREMA DE POLLO RICO 45 GR,$ 1.490,d1
145,SAL REFISAL 1000 G,$ 1.650,d1
146,MEZCLA CONDIMENTOS SAZONAREY 35 G,$ 950,d1
147,PASTA DE PIMENTÓN DELIKA 110 G,$ 1.790,d1
148,MEZCLA PARA ADOBAR DELIKA 110 G,$ 1.790,d1
149,PASTA DE AJO DELIKA 110 G,$ 1.790,d1
150,BICARBONATO DE SODIO SPECIARIA 200 GR,$ 2.290,d1
151,CANELA MOLIDA PURA SPECIARIA 28 G,$ 2.600,d1
152,TOMILLO SPECIARIA 20 G,$ 1.900,d1
153,ALBAHACA SPECIARIA 20 G,$ 1.750,d1
154,COLORANTE NATURAL CURCUMA SPECIARIA 28 G,$ 1.990,d1
155,COMINO SPECIARIA 28 G,$ 2.200,d1
156,LAUREL SPECIARIA 20 G,$ 1.750,d1
157,OREGANO SPECIARIA 20 G,$ 1.990,d1
158,PIMIENTA MOLIDA SPECIARIA 28 G,$ 1.990,d1
159,AJO GRANULADO SPECIARIA 28 G,$ 1.990,d1
160,CANELA EN ASTILLAS SPECIARIA 20 GR,$ 2.190,d1
161,COCO RALLADO SPECIARIA 100 GR,$ 2.990,d1
162,MORINGA EN HOJAS P&I 8 G,$ 1.590,d1
163,PAPRIKA SPECIARIA 28 G,$ 1.590,d1
164,JENGIBRE EN POLVO SPECIARIA 28 G,$ 1.790,d1
165,CURRY EN POLVO SPECIARIA 28 G,$ 1.490,d1
166,CLAVO ENTERO SPECIARIA 20 G,$ 2.890,d1
167,HARINA DE MAÍZ BLANCO PAN 1000 G,$ 4.150,d1
168,HARINA DE MAÍZ AMARILLO PAN 1000 G,$ 4.150,d1
169,HARINA DE TRIGO CON POLVO PARA HORNEAR,$ 2.190,d1
170,GRANO ENTERO DE QUINUA,$ 4.790,d1
171,PREMEZCLA PARA PANCAKES QUICKSY 300 G,$ 2.590,d1
172,HARINA DE TRIGO QUICKSY 500 G,$ 1.890,d1
173,PREMEZCLA DE GALLETAS CON CHIPS DE CHOCOLATE QU...,$ 4.150,d1
174,HARINA DE MAIZ BLANCO QUICKSY 1000 G,$ 3.150,d1
175,HARINA DE MAIZ AMARILLO QUICKSY 1000 G,$ 3.150,d1
176,CHOCO KRISPIS KELLOGG¿S 200 G,$ 4.690,d1
177,ZUCARITAS KELLOGG¿S 200 G,$ 4.690,d1
178,CEREAL FLIPS CHOCOLATE 400 G,$ 9.690,d1
179,FROOT LOOPS KELLOGG°S 160 G,$ 4.690,d1
180,CEREAL ORIGINAL FITNESS 230 G,$ 7.990,d1
181,AVENA EN HARINA COSECHA IMPERIAL 200 G,$ 990,d1
182,CEREAL DE AVENA CON CANELA FIT GRAAN 300 G...,$ 8.190,d1
183,BARRAS DE CEREAL FIT GRAAN 138 G,$ 4.290,d1
184,CEREAL DE MAIZ Y QUINUA FIT GRAAN 300 G,$ 4.590,d1
185,HOJUELA DE MAIZ NATURAL FIT GRAAN 300 GR,$ 4.390,d1
186,HOJUELAS AZUCARADAS FIOCCO 300 G,$ 4.490,d1
187,ARROZ ACHOCOLATADO FIOCCO 320 G,$ 4.790,d1
188,AROS FRUTALES FIOCCO 230 G,$ 3.850,d1
189,AVENA EN HOJUELAS FIT GRAAN 250 G,$ 1.290,d1
190,GRANOLA FRUTOS ROJOS FIT GRAAN 350 G,$ 4.150,d1
191,GRANOLA COCO Y PASAS FIT GRAAN 350 G,$ 4.150,d1
192,TAMAL TOLIMENSE 2 UND 400 G,$ 7.350,d1
193,PIZZA DE JAMÓN Y QUESO / HAWAIANA BACKEREI 130 ...,$ 3.090,d1
194,QUINUA PREPARADA CUCINA & AMORE 225 G,$ 7.990,d1
195,SALSA SHOWY 200 G,$ 3.890,d1
196,VINAGRETA RANCH ZEV X 240 GR,$ 3.590,d1
197,VINAGRETA ITALIANA ZEV 240 G,$ 3.590,d1
198,MAYONESA FRUCO 480 G,$ 7.350,d1
199,SALSA TÁRTARA ZEV 200GR,$ 1.790,d1
200,ESENCIA DE VAINILLA SPECIARIA 155ML,$ 1.990,d1
201,SALSA DE TOMATE FRUCO 650G,$ 7.490,d1
202,SALSA DE AJÍ PICANTE MASH 175 GR,$ 1.890,d1
203,PASTA DE TOMATE ZEV 200 G,$ 2.190,d1
204,MOSTAZA ZEV 200 G,$ 1.590,d1
205,MAYONESA BAJA EN GRASA ZEV 500 G,$ 2.490,d1
206,MAYONESA CON MOSTAZA ZEV 200 GRS,$ 2.390,d1
207,VINAGRETA LIGHT ZEV 265 G,$ 3.950,d1
208,AJÍ PICANTE MASH 250 G,$ 2.990,d1
209,MIEL DE ABEJAS MEEL 350 G,$ 8.190,d1
210,SALSA ROSADA ZEV 200 G,$ 1.350,d1
211,SALSA PESTO VERDE COLLEGRANDE 190 G,$ 5.590,d1
212,MERMELADA DE MORA ZEV 200 G,$ 1.890,d1
213,SYRUP QUICKSY 355 ML,$ 4.790,d1
214,SALSA DE PIÑA ZEV X 200 GR,$ 1.850,d1
215,SALSA MEXICANA CRACHOS 220 G,$ 5.990,d1
216,CREMA DE ALMENDRAS SIN AZUCAR NATRI 160G,$ 12.990,d1
217,SALSA TERIYAKI ZEV 190 GR,$ 2.090,d1
218,VINAGRE DE SIDRA DE MANZANA NATRI 250ML,$ 3.990,d1
219,VINAGRE BLANCO ZEV 1000 ML,$ 2.590,d1
220,SALSA DE QUESO CRACHOS 200 G,$ 3.290,d1
221,GUACAMOLE CRACHOS 200 G,$ 3.290,d1
222,SALSA PARA CARNES ZEV 195 G,$ 1.690,d1
223,SALSA DE SOYA ZEV 190 G,$ 1.290,d1
224,SALSA NEGRA ZEV 190 G,$ 1.650,d1
225,HUMMUS CLÁSICO MEZETE 215 G,$ 7.290,d1
226,SALSA DE TOMATE ZEV 500 G,$ 2.590,d1
227,SALSA NAPOLITANA DELIZIARE 400 G,$ 5.290,d1
228,SALSA BOLOÑESA DELIZIARE 400 G,$ 5.990,d1
229,PASTELITOS RECREO MIX BIMBO 5 UND 149 G,$ 3.250,d1
230,ACHIRAS DEL HUILA 120 G,$ 5.190,d1
231,ROSCON RESOBADO BOCADILLO JOSMAR 150 G,$ 3.190,d1
232,GANSITO RAMO 6 UNIDADES 222 G,$ 5.990,d1
233,PINGÜINOS MARINELA 4 UND - 160 G,$ 4.290,d1
234,PAN RÚSTICO MULTIGRANO PERMAN 420 G,$ 6.590,d1
235,PAN TAJADO TIPO BRIOCHE REPAN 380 GR,$ 5.790,d1
236,BROWNIE CON AREQUIPE HORNEADITOS 80 GRS,$ 1.650,d1
237,PAN DE YUCA HORNEADITOS 10 UND 90 G,$ 2.890,d1
238,WAFFLE SABOR NATURAL BACKEREI 216 G,$ 4.890,d1
239,LENGUAS DULCES HORNEADITOS 100 G,$ 1.890,d1
240,PALITROQUES HORNEADITOS 100 G,$ 2.150,d1
241,TOSTADA MANTEQUILLA HORNEADITOS 100 G,$ 2.190,d1
242,PAN INTEGRAL MIEL Y PASAS HORNEADITOS 340 G...,$ 2.690,d1
243,GALLETA CUCA HORNEADITOS 12 UND - 340 G,$ 3.190,d1
244,MINI BROWNIES HORNEADITOS 15 UND - 350 G,$ 7.890,d1
245,COCADAS TRADICIÓN 1915 150 GRS,$ 4.550,d1
246,QUESUDITOS HORNEADITOS 250 G,$ 4.950,d1
247,BRAZO DE REINA HORNEADITOS 85 G,$ 1.350,d1
248,CHOCO TAJADA HORNEADITOS 70 G,$ 1.250,d1
249,PAN ÁRABE BACKEREI 5 UND 300 G,$ 3.550,d1
250,PAN HAMBURGUESA HORNEADITOS 4 UND 320 G,$ 2.100,d1
251,PAQUETÓN MIXTO HORNEADITOS 800 GRS,$ 5.390,d1
252,PALO DE QUESO MOZZARELLA BACKEREI 480 GRS...,$ 5.750,d1
253,PAN CAIMÁN HORNEADITOS 500 G,$ 3.690,d1
254,PASTEL DE GUAYABA HORNEADITOS 20 UND - 190 G...,$ 3.450,d1
255,TOSTADAS FINAS HIERBAS HORNEADITOS 90 G,$ 2.090,d1
256,TOSTADAS CON AJO HORNEADITOS 90 G,$ 2.090,d1
257,PAN TAJADO ARTESANAL INTEGRAL HORNEADITOS 500 G...,$ 5.290,d1
258,MINI CROISSANT HORNEADITOS 340 GRS,$ 3.390,d1
259,PAN PERRO CON AJONJOLÍ HORNEADITOS 6 UND 370 G...,$ 2.790,d1
260,PAN LECHE HORNEADITOS 10 UND 440 GRS,$ 2.990,d1
261,TORTA NEGRA HORNEADITOS 80 GRS,$ 1.650,d1
262,TOSTADA SURTIDA HORNEADITOS 100 G,$ 2.590,d1
263,MOGOLLA INTEGR HORNEADITOS 10 UND - 400 G...,$ 2.850,d1
264,CORAZONES HORNEADITOS 20 UND - 210 G,$ 3.450,d1
265,PAN ARTESANAL HORNEADITOS 500 G,$ 4.190,d1
266,TOSTADA NATRI MULTICEREAL70 GRS / MAÍZ 90 GRS...,$ 3.150,d1
267,PAN TAJADO INTEGRAL HORNEADITOS 350 GRS,$ 2.290,d1
268,PAN TAJADO BLANCO HORNEADITOS 450 GRS,$ 2.750,d1
269,TOSTADA CLÁSICA HORNEADITOS 10 UND 150 G,$ 1.490,d1
270,TOSTADA INTEGRAL HORNEADITOS 10 UND 150G,$ 1.590,d1
271,PAN MULTIGRANOS NATRI 0 AZUCAR 450 G,$ 4.390,d1
272,COCADA TRADICIONAL NORMANDY 240 G,$ 5.790,d1
273,TIRUDITO SUPERCOCO (8g) 15U,$ 3.190,d1
274,GALLETA WAFER COCOSETTE 50 G,$ 1.250,d1
275,BOM BOM BUM FRESA PQ 6,$ 2.190,d1
276,CHOCOLATE KITKAT CHUNKY 40 GRS,$ 2.250,d1
277,HALLS LIMON Y MIEL 9S,$ 1.290,d1
278,TRIDENT MENTA SIN AZUCAR 5S,$ 1.150,d1
279,CREMA DE AVELLANAS NUZART 350 G,$ 7.990,d1
280,CREMA DE AVELLANAS DUO NUZART 350 G,$ 6.990,d1
281,CHOCOLATINA KEO 12 UND 144 G,$ 3.990,d1
282,TRIDENT SIN AZUCAR SANDIA 18,$ 3.150,d1
283,TRIDENT SIN AZUCAR FRESHMINT 18,$ 3.150,d1
284,CARAMELOS MASTICABLES SPARKIES 25 G,$ 1.100,d1
285,LAMINAS DE CHOCOLATE BISCOLATA CHOCOCHIPS 115 G...,$ 6.590,d1
286,BARQUILLOS RELLENOS DE CREMA NUZART 150 G...,$ 6.490,d1
287,BARRA DE CHOCOLATE CON MANÍ JUMBO 40 G,$ 2.150,d1
288,GALLETA WAFER RECUBIERTA DE CHOCOLATE JET WAFER...,$ 890,d1
289,BARRA DE CHOCOLATE PREMIUM CHALET DU CHOCOLAT 5...,$ 2.890,d1
290,TRUFAS DE BROWNIE TRUFUS 80 G,$ 2.150,d1
291,NANOS PARTICULAS DE DULCES ÁCIDOS OKA LOKA 40 G...,$ 1.190,d1
292,BARRA DE CHOCOLATE CON CARAMELO Y MANI WAPPS...,$ 1.790,d1
293,MORITAS DE GOMA BEBETO 150 G,$ 2.990,d1
294,HELADOS DE GOMA BEBETO 150 G,$ 2.990,d1
295,BARRA DE CHOCOLATE BISCOLATA DUOMAX,$ 1.990,d1
296,CONO DE CHOCOLATE OZMO CORNET 25 G,$ 1.590,d1
297,GALLETA MINI BURGER OZMO 40 GRS,$ 1.690,d1
298,CHOCO COOKIE BISCOLATA BREAK 20 GRS,$ 690,d1
299,MASMELOS BLANCOS MELI MELLOWS 120 GR,$ 2.190,d1
300,OBLEAS TRADICION 1915 4 OBLEAS 140G,$ 5.990,d1
301,ROLLITO DE GUAYABA CON CENTRO DE AREQUIPE DULCE...,$ 5.450,d1
302,BOCADILLO VELEÑO DULCE NATURALEZA 470 G,$ 4.690,d1
303,LONJA DE GUAYABA DULCE NATURALEZA 300 G,$ 1.950,d1
304,WAFER CUBIERTA DE CHOCOLATE BISCOLATA VENI 20 G...,$ 890,d1
305,GOMA INFANTIL HUBBA BUBBA,$ 4.290,d1
306,GOMAS SURTIDAS TRULULU 150 G,$ 2.390,d1
307,MANTEQUILLA DE MANÍ PET MASH 227 G,$ 4.990,d1
308,GELATINA BLANCA TRADICION 1915 168 G,$ 2.950,d1
309,ALFAJOR PREMIUM CHOCOLATE LECHE O BLANCO,$ 2.190,d1
310,BOMBON DE CHOCOLATE OREO BOLITA 190 G,$ 990,d1
311,TIC TAC NARANJA 16 G,$ 1.890,d1
312,HUEVO SORPRESA KINDER JOY 20 G,$ 4.490,d1
313,GOMAS FUN MIX GRISSLY 150 GR,$ 1.990,d1
314,GALLETAS VAINILLA 18UN WAFER NOEL 432 GR,$ 6.390,d1
315,GALLETAS SANDWICH QUESO DUX,$ 5.350,d1
316,GALLETA INTEGRAL CLUB SOCIAL 6 UND,$ 2.850,d1
317,GALLETA HAPPY BLACK 12 PQ 408G,$ 5.990,d1
318,GALLETA DE LECHE MUUU COLOMBINA 216 GRS X 18 UN...,$ 3.750,d1
319,GALLETA CHIPS DE CHOCOLATE 6 PQ,$ 4.290,d1
320,GALLETA RELLENA BISCOLATA MOOD 115 G,$ 4.990,d1
321,GALLETA MINI WAFER BISCOLATA 117 G,$ 4.990,d1
322,GALLETA SABOR OLIVA Y ORÉGANO GRETA 120 G...,$ 3.490,d1
323,GALLETAS SALTÍSIMAS CLUB 6 UND 153 G,$ 2.590,d1
324,GALLETA MIEL HONY BRAN 297 G,$ 4.690,d1
325,GALLETA RELLENA DE FRUTA NATRI 145 G,$ 5.290,d1
326,GALLETA INTEGRAL FUSION CEREALES NATRI 162 G...,$ 2.950,d1
327,GALLETA INTEGRAL CON MIEL NATRI 216 G,$ 3.390,d1
328,GALLETA CUBIERTA YOGUR NATRI 180 G,$ 6.290,d1
329,GALLETA HAPPY CREAM VAINILLA 12 PQ 408G,$ 4.250,d1
330,GALLETA INTEGRAL CON AVENA Y BASE SABOR A YOGUR...,$ 3.990,d1
331,GALLETA SEMIDULCE SALTISIMAS 3T 315G,$ 3.990,d1
332,GALLETA WAFER VAINILLA SIN AZUCAR BRIDGE 6 PK ...,$ 6.990,d1
333,GALLETA HOLANDESA NUZART 35G,$ 1.690,d1
334,GALLETAS CARMELLO CLASSIC BERGEN 140 G,$ 3.390,d1
335,GALLETA HAPPY CREAM VAINILLA 6 PQ 204 G,$ 2.590,d1
336,GALLETAS SALADAS SALTISIMAS 6 TACOS 454 G...,$ 4.190,d1
337,GALLETAS MANTEQUILLA SALTÍSIMAS 324 G,$ 3.250,d1
338,GALLETAS CROKAN CAJA SURTIDA 200 G,$ 3.790,d1
339,GALLETA SEMIDULCE 5 TACOS 455 GRS,$ 5.190,d1
340,GALLETA HAPPY CREAM LIMON 6 PQ 204 G,$ 2.590,d1
341,GALLETAS SALTÍSIMAS 300 G,$ 2.950,d1
342,GALLETA NEGRITA BLACK OUT 228 G,$ 3.490,d1
343,GALLETA HAPPY CREAM FRESA 6 PQ 204 G,$ 2.590,d1
344,HUEVOS DE CODORNIZ SOL NACIENTE 24 UND,$ 4.190,d1
345,HUEVO TIPO AA SOL NACIENTE 12 UND,$ 6.990,d1
346,HUEVO TIPO A SOL NACIENTE 30 UND,$ 14.990,d1
347,CARNE PARA ASAR LLANO ALTO 500 GR,$ 16.450,d1
348,CARNE PARA BISTEC LLANO ALTO 500 GR,$ 15.950,d1
349,CHATA LLANO ALTO 500 GR,$ 20.190,d1
350,CUBOS DE CERDO LLANO ALTO 500 GR,$ 10.250,d1
351,MILANESA DE CERDO LLANO ALTO 500 GR,$ 10.890,d1
352,TOCINO CARNUDO LLANO ALTO 500 GR,$ 11.990,d1
353,CUBOS PARA ESTOFAR RES LLANO ALTO 500 GR,$ 13.890,d1
354,ALAS SIN COSTILLAR AVICAMPO 500 GR,$ 4.990,d1
355,FILETE DE PECHUGA AVICAMPO 500 GR,$ 9.990,d1
356,FILETE DE PERNIL AVICAMPO 500 GR,$ 8.390,d1
357,PECHUGAS DE POLLO AVICAMPO 1100 G,$ 14.990,d1
358,CARNE MOLIDA DE RES LLANO ALTO 450 G,$ 15.500,d1
359,SOBREBARRIGA DELGADA LLANO ALTO 600 GR,$ 17.290,d1
360,MUSLOS DE POLLO AVICAMPO X 700 G,$ 7.690,d1
361,COSTILLA DE RES LLANO ALTO 500 G,$ 11.490,d1
362,FILETE DE LOMO DE CERDO LLANO ALTO 500 G,$ 13.990,d1
363,ENTRECOTE DE RES LLANO ALTO 500 G,$ 22.990,d1
364,ENTREMUSLOS DE POLLO AVICAMPO X 700 G,$ 6.990,d1
365,CRISPETA CARAMELO CHEETOS 72 G,$ 1.590,d1
366,DE TODITO BBQ 250GR,$ 6.750,d1
367,LONJAS DE ALMENDRA NUTHOS 100 GR,$ 7.890,d1
368,MEZCLA NUECES PREMIUM NUTHOS,$ 6.290,d1
369,PATACÓN PISAO PLATAITOS 80 G,$ 3.490,d1
370,TORTILLA BURRITO CRACHOS 8 UND - 580 G,$ 5.990,d1
371,MANÍ SALADO NUTHOS 200 G,$ 3.350,d1
