indice,nombres,precios
141,Galleta Saltín Noel Integral Doble Fibra 216 G X9 Unds,$ 4.300
142,Galleta Tosh Ajonjolí 243 G X9 Unds,$ 6.300
143,Frijol Olimpica Rosado Riego Zaragoza 1 Kg,$ 7.200
144,Champiñones Al'Fresco Tajados 280 G,$ 6.600
145,Galletas Ritz Bolsa 134 G,$ 3.950
146,Galleta Saltinas Original 3 Tacos 318 G,$ 5.200
147,Frijol Olimpica Cargamanto Blanco 500 G,$ 8.950
148,Maíz Dulce Zenú 241 G X2 Unds Oferta,$ 8.850
149,Sardina Van Camps En Salsa De Tomate 425 G,$ 9.600
150,Huevo A Olimpica Rojo X6 Unds,$ 3.900
151,Crema Maggi Tomate 76 G,$ 3.400
152,Aceite Canola Olimpica 2000 ML,$ 29.150
153,Galleta Saltín Noel Queso Mantequilla 385 G,$ 5.990
154,Huevo AA Olimpica Rojo Extra X30 Unds,$ 17.900
155,Aceite Diana Mezcla Vegetal Vitamina A/D 900 ML,$ 12.650
156,Pasta Tallarín Doria Clasic 500 G,$ 4.000
157,Canela El Rey Pura Molida 30 G,$ 5.100
158,Cereal Tosh Barra Avena Arándanos 23 G X6 Unds,$ 7.990
159,Salsa Mostaza Bary Doypack Con Tapón 200 G,$ 3.100
160,Cereal Tosh Barra Yogurt Proteina 27 G X 6 Unds,$ 9.300
161,Huevo AAA Nápoles Rojo X12 Unds,$ 10.000
162,Sopa Instantánea Maggi Mi Sopa Gallina Y Fideo 65 G,$ 1.750
163,Galleta Tosh Fusión Cereal Taco 382 G X2 Unds,$ 6.800
164,Avena Molida Quaker 400 G,$ 4.150
165,Aceite De Girasol Olimpica 3 Lt,$ 37.950
166,Arroz Sabrosón 500 G,$ 1.790
167,Harina De Trigo Haz De Oro Con Polvo Para Hornear 500 G,$ 2.750
168,Galleta Noel Sultana 440 G,$ 7.550
169,Salsa De Tomate La Constancia 1000 G,$ 10.250
170,Endulzante Incauca Zero Calorías Doypack 454 G,$ 20.900
171,Panela Olimpica Pastilla 250 G,$ 1.650
172,Arvejas Zenú Con Zanahoria 300 G,$ 3.800
173,Avena Quaker Doy Pack Ziper En Hojuelas 350 G,$ 6.600
174,Galleta Noel Tipo Leche 321 G,$ 5.700
175,Salsa Medalla De Oro Teriyaki 210 G,$ 2.100
176,Vinagre Barrentos Blanco 2 Lt,$ 5.500
177,Sal Natusal 1 Kg,$ 1.760
