indice,nombre,precio,tienda
124,Arroz Supremo Premium x2500 g,$ 11.790,jumbo
125,Mezcla Panelada panela limón x4 und x29g c/u,$ 3.990,jumbo
126,Harina PAN Maíz Dulce x 1000 g,$ 7.590,jumbo
127,Sal refisal light sodio x500g+salero x120gpr.esp,$ 8.990,jumbo
128,Avena en hojuelas x 1000 g,$ 5.912,jumbo
129,Aceite Diana vitaminas x 900 ml,$ 10.590,jumbo
130,Café Oma Línea Selecta x 500G,$ 23.590,jumbo
131,Chocolate Luker Amargo x 250G,$ 6.990,jumbo
132,Aceite Diana premium girasol canola x2000ml,$ 32.290,jumbo
133,Aceite vegetal fino soya girasol x 4.5L,$ 47.590,jumbo
134,Café Grano Gourmet Quindío x 500G,$ 28.990,jumbo
135,Pasta Clásica Tallarín Doria x 500 g.,$ 4.190,jumbo
136,Pasta Monticello spaguetti x 1000 g.,$ 11.990,jumbo
137,Aceite De Oliva Extra Virgen Ybarra x 1 Lt,$ 29.990,jumbo
138,Aceite girasol premier garrafa x 2000 ml,$ 35.990,jumbo
139,Cafe lukafe fuertex400g,$ 9.390,jumbo
140,Azúcar morena Riopaila x 5000g,$ 17.590,jumbo
141,Arroz Florhuila Platino Blanco x 2.5 Kg,$ 13.990,jumbo
142,Atún Isabel lomitos en aceite de girasol x 160g,$ 7.990,jumbo
143,Garbanzo diana seleccionados x1000g,$ 7.590,jumbo
144,Milo Activ-Go bajo en azúcar x750g,$ 21.693,jumbo
145,Arroz castellano premum jazmin x500g,$ 7.590,jumbo
146,Café Juan Valdez Liofilizado Clásico x190g,$ 27.990,jumbo
147,Café Lukafe Intenso x 500G,$ 14.590,jumbo
148,Panela La Nocaimera pastilla x 1000 g,$ 6.390,jumbo
149,Caldo Ricostilla desmenuzado x 9g c-u pague 10 lleve 12,$ 3.890,jumbo
150,Sal marina Refisal duopack x 800 g c-u precio especial,$ 7.990,jumbo
151,Chocolate corona clavos canela resellable*20p*500g,$ 5.912,jumbo
152,Mezcla de chocolate Chocolisto x 440 g.,$ 10.390,jumbo
153,Arroz blanco Máxima x5 kg,$ 16.390,jumbo
154,Sardina Van Camps Premium Salsa Tomate x 225g,$ 5.390,jumbo
155,Maiz pira cuisine&co x500g,$ 2.390,jumbo
156,Aceite girasol Fino x 3000ml.,$ 45.990,jumbo
157,Azúcar Incauca Blanco Especial 1 kg,$ 3.790,jumbo
158,Aceite girasol premier Frasco x 1000 ml,$ 18.490,jumbo
159,Frijol cuisine&co cargamanto rojo x500g,$ 5.990,jumbo
160,Pasta Monticello fusilli x 500 g.,$ 7.590,jumbo
161,Arroz supremo x 3000 g,$ 11.790,jumbo
162,Arroz*5kg roa,$ 20.990,jumbo
163,Aceite Riquisimo garrafa 5000ml,$ 53.990,jumbo
164,Cereal milo econopack x380g,$ 11.990,jumbo
165,Arroz Diana Premium x 2.5 Kg,$ 14.390,jumbo
166,Arroz cuisine&co blanco x3000g,$ 10.990,jumbo
167,Aromatica manzanilla hindu x 18 g,$ 3.590,jumbo
168,Chocolate sol clavos canela azucar x500g,$ 7.190,jumbo
169,Atún Van Camps lomitos aceite oliva x 4 und x 160 g c/u,$ 29.592,jumbo
170,Mayonesa Fruco doypack x1kg,$ 15.590,jumbo
171,Panela la gloria pastilla natural x500g,$ 3.390,jumbo
172,Azucar Manuelita Organica x800g,$ 4.090,jumbo
173,Harina De Trigo Con Polvo Para Hornear Haz De Oros x 1000g,$ 5.390,jumbo
174,Frijol cuisine&co zaragoza x500g,$ 3.990,jumbo
175,Chocolate Con Splenda Instantáneo Chocolyne X200G.,$ 9.390,jumbo
176,Arroz Castellano x 2.5 kg,$ 20.990,jumbo
177,Caldo Maggi desmenuzado especias x10 sobres x9g,$ 3.890,jumbo
178,Barra cereal Tosh trozos arándanos nueces x 6 und x 138g,$ 8.190,jumbo
179,Pasta Penne Rigate Barilla x500g,$ 8.590,jumbo
180,Harina PAN Amarilla x 1000 g,$ 4.590,jumbo
181,Cafe colcafe granulado x300g,$ 24.590,jumbo
182,Base para pastas Salsa Bolognesa Maggi x50g,$ 3.690,jumbo
183,Atun alamar bocados aceite x140g,$ 6.190,jumbo
184,Café Juan Valdez Soluble Liofilizado Dulce De Leche x95g,$ 19.690,jumbo
185,Cafe nescafe soluble dolca ahorra pack x247g,$ 19.990,jumbo
186,Chocolate Vainilla La Especial X500G.X16 Pastillas,$ 5.990,jumbo
187,Atún lomitos La Soberana agua x 140g,$ 5.790,jumbo
188,Avena hojuela quaker x400gr,$ 3.832,jumbo
189,Azúcar blanco Providencia x 1 kg,$ 3.690,jumbo
190,Café Instantáneo Granulado Colcafé x 170 G.,$ 16.790,jumbo
191,Frijol cuisine&co blanquillo x500g,$ 3.590,jumbo
192,Frijoles Diana cargamanto seleccionados x 1000g,$ 11.990,jumbo
193,Azúcar orgánica Providencia x850g,$ 3.990,jumbo
194,Aceite gourmet familia frito experto x1000ml,$ 14.590,jumbo
195,Atún La Soberana agua x3und x240g,$ 12.790,jumbo
196,Arroz Casanare x 5 kg,$ 18.990,jumbo
197,Pasta Macarrón con Salsa de Queso Doria x 210 g.,$ 4.190,jumbo
198,Salsa Fruco tomate x 190g,$ 3.790,jumbo
199,Capsulas dolce gusto americano x16und x10g c-u,$ 19.590,jumbo
200,"Azúcar Incauca Morena 2,5 kg",$ 9.390,jumbo
201,Aceite Canola life puro x 3L,$ 59.990,jumbo
202,Salsa tomate Bary x1000g,$ 8.190,jumbo
203,Arroz Roa 10 x 2.5Kg,$ 13.390,jumbo
204,Cereal chocokrispis x 630g,$ 21.990,jumbo
205,Atún Alamar bocados en agua x2und x140g c/u,$ 9.190,jumbo
206,Milo active go doypack x250g,$ 7.693,jumbo
207,Pasta Monticello fettuccine x 500 g.,$ 7.590,jumbo
