indice,nombres,precios
203,PASTA DE TOMATE ZEV 200 G,$ 2.190
204,MOSTAZA ZEV 200 G,$ 1.590
205,MAYONESA BAJA EN GRASA ZEV 500 G,$ 2.490
206,MAYONESA CON MOSTAZA ZEV 200 GRS,$ 2.390
207,VINAGRETA LIGHT ZEV 265 G,$ 3.950
208,AJÍ PICANTE MASH 250 G,$ 2.990
209,MIEL DE ABEJAS MEEL 350 G,$ 8.190
210,SALSA ROSADA ZEV 200 G,$ 1.350
211,SALSA PESTO VERDE COLLEGRANDE 190 G,$ 5.590
212,MERMELADA DE MORA ZEV 200 G,$ 1.890
213,SYRUP QUICKSY 355 ML,$ 4.790
214,SALSA DE PIÑA ZEV X 200 GR,$ 1.850
215,SALSA MEXICANA CRACHOS 220 G,$ 5.990
216,CREMA DE ALMENDRAS SIN AZUCAR NATRI 160G,$ 12.990
217,SALSA TERIYAKI ZEV 190 GR,$ 2.090
218,VINAGRE DE SIDRA DE MANZANA NATRI 250ML,$ 3.990
219,VINAGRE BLANCO ZEV 1000 ML,$ 2.590
220,SALSA DE QUESO CRACHOS 200 G,$ 3.290
221,GUACAMOLE CRACHOS 200 G,$ 3.290
222,SALSA PARA CARNES ZEV 195 G,$ 1.690
223,SALSA DE SOYA ZEV 190 G,$ 1.290
224,SALSA NEGRA ZEV 190 G,$ 1.650
225,HUMMUS CLÁSICO MEZETE 215 G,$ 7.290
226,SALSA DE TOMATE ZEV 500 G,$ 2.590
227,SALSA NAPOLITANA DELIZIARE 400 G,$ 5.290
228,SALSA BOLOÑESA DELIZIARE 400 G,$ 5.990
229,PASTELITOS RECREO MIX BIMBO 5 UND 149 G,$ 3.250
230,ACHIRAS DEL HUILA 120 G,$ 5.190
231,ROSCON RESOBADO BOCADILLO JOSMAR 150 G,$ 3.190
232,GANSITO RAMO 6 UNIDADES 222 G,$ 5.990
233,PINGÜINOS MARINELA 4 UND - 160 G,$ 4.290
234,PAN RÚSTICO MULTIGRANO PERMAN 420 G,$ 6.590
235,PAN TAJADO TIPO BRIOCHE REPAN 380 GR,$ 5.790
236,BROWNIE CON AREQUIPE HORNEADITOS 80 GRS,$ 1.650
237,PAN DE YUCA HORNEADITOS 10 UND 90 G,$ 2.890
238,WAFFLE SABOR NATURAL BACKEREI 216 G,$ 4.890
239,LENGUAS DULCES HORNEADITOS 100 G,$ 1.890
